bufferSize;packetLength;trafficPattern;packetInjectionRate;Average latency;Average latency (cycles);Minimum latency;Minimum latency (cycles);Maximum latency;Maximum latency (cycles);Average hop count;Minimum hop count;Maximum hop count;Total sent flits;Total received flits;Total sent packets;Total received packets;Total injected packets;Simulated time;Simulated clock cycles;Delta cycles;Total flits at wrong Dest;Total modified flits (Router);Total modified flits (NI);Total dropped flits;Total ARQ sent;Total ACK sent;Total Retransmissions;Single Retransmissions ARQ;Multi Retransmissions ARQ;Number Flits in FlitBuffer;Acceptance Rate;Information Gain;Residual Error Probability;Residual Error Prob (Flits);
3;96;TrafficPattern::Bitshuffle;0.001;7496 ns;749;5860 ns;586;15960 ns;1596;3;2;6;7680;7392;80;77;80;300 us;30000;59346;0;0;0;0;0;0;0;0;0;188;0.096;1;0.0375;0.0130208;
3;112;TrafficPattern::Bitshuffle;0.001;8568 ns;856;6820 ns;682;16960 ns;1696;3;2;6;8960;8736;80;78;80;300 us;30000;68474;0;0;0;0;0;0;0;0;0;61;0.112;1;0.025;0.018192;
3;128;TrafficPattern::Bitshuffle;0.001;9602 ns;960;7780 ns;778;17940 ns;1794;3;2;6;10240;9600;80;75;80;300 us;30000;77500;0;0;0;0;0;0;0;0;0;383;0.128;1;0.0625;0.0250977;
3;144;TrafficPattern::Bitshuffle;0.001;10960 ns;1096;8740 ns;874;18920 ns;1892;4;2;6;11520;10656;80;74;80;300 us;30000;84120;0;0;0;0;0;0;0;0;0;765;0.144;1;0.075;0.00859375;
3;160;TrafficPattern::Bitshuffle;0.001;11919 ns;1191;9700 ns;970;19880 ns;1988;4;2;6;12800;11840;80;74;80;300 us;30000;92228;0;0;0;0;0;0;0;0;0;766;0.16;1;0.075;0.0151563;
3;176;TrafficPattern::Bitshuffle;0.001;12713 ns;1271;10660 ns;1066;20840 ns;2084;3;2;6;14080;12320;80;70;80;300 us;30000;97001;0;0;0;0;0;0;0;0;0;1374;0.176;1;0.125;0.0274148;
3;192;TrafficPattern::Bitshuffle;0.001;13687 ns;1368;11620 ns;1162;21800 ns;2180;3;2;6;15360;13440;80;70;80;300 us;30000;97779;0;0;0;0;0;0;0;0;0;1243;0.192;1;0.125;0.0440755;
3;208;TrafficPattern::Bitshuffle;0.001;14660 ns;1466;12580 ns;1258;22760 ns;2276;3;2;6;16640;14560;80;70;80;300 us;30000;98299;0;0;0;0;0;0;0;0;0;1111;0.208;1;0.125;0.0582332;
3;224;TrafficPattern::Bitshuffle;0.001;15633 ns;1563;13540 ns;1354;23720 ns;2372;3;2;6;17920;15680;80;70;80;300 us;30000;99438;0;0;0;0;0;0;0;0;0;889;0.224;1;0.125;0.0753906;
3;240;TrafficPattern::Bitshuffle;0.001;16605 ns;1660;14500 ns;1450;24680 ns;2468;3;2;6;19200;16800;80;70;80;300 us;30000;99647;0;0;0;0;0;0;0;0;0;665;0.24;1;0.125;0.0903646;
3;256;TrafficPattern::Bitshuffle;0.001;20692 ns;2069;16660 ns;1666;29600 ns;2960;4;2;6;20480;17408;80;68;80;300 us;30000;98079;0;0;0;0;0;0;0;0;0;1751;0.256;1;0.15;0.064502;
4;16;TrafficPattern::Bitshuffle;0.001;2993 ns;299;1060 ns;106;11200 ns;1120;4;2;6;1280;1280;80;80;80;300 us;30000;11511;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
4;20;TrafficPattern::Bitshuffle;0.001;3234 ns;323;1300 ns;130;11460 ns;1146;4;2;6;1600;1600;80;80;80;300 us;30000;13789;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;
4;24;TrafficPattern::Bitshuffle;0.001;3476 ns;347;1540 ns;154;11700 ns;1170;4;2;6;1920;1920;80;80;80;300 us;30000;16241;0;0;0;0;0;0;0;0;0;0;0.024;1;0;0;
4;28;TrafficPattern::Bitshuffle;0.001;3717 ns;371;1780 ns;178;11940 ns;1194;4;2;6;2240;2240;80;80;80;300 us;30000;18558;0;0;0;0;0;0;0;0;0;0;0.028;1;0;0;
4;32;TrafficPattern::Bitshuffle;0.001;3958 ns;395;2020 ns;202;12180 ns;1218;4;2;6;2560;2560;80;80;80;300 us;30000;21006;0;0;0;0;0;0;0;0;0;0;0.032;1;0;0;
4;40;TrafficPattern::Bitshuffle;0.001;4439 ns;443;2500 ns;250;12660 ns;1266;4;2;6;3200;3200;80;80;80;300 us;30000;25673;0;0;0;0;0;0;0;0;0;0;0.04;1;0;0;
4;48;TrafficPattern::Bitshuffle;0.001;4921 ns;492;2980 ns;298;13120 ns;1312;4;2;6;3840;3840;80;80;80;300 us;30000;30377;0;0;0;0;0;0;0;0;0;0;0.048;1;0;0;
4;56;TrafficPattern::Bitshuffle;0.001;5401 ns;540;3460 ns;346;13620 ns;1362;4;2;6;4480;4480;80;80;80;300 us;30000;35202;0;0;0;0;0;0;0;0;0;0;0.056;1;0;0;
4;64;TrafficPattern::Bitshuffle;0.001;5886 ns;588;3940 ns;394;14100 ns;1410;4;2;6;5120;5120;80;80;80;300 us;30000;39598;0;0;0;0;0;0;0;0;0;0;0.064;1;0;0;
4;80;TrafficPattern::Bitshuffle;0.001;6849 ns;684;4900 ns;490;15040 ns;1504;4;2;6;6400;6400;80;80;80;300 us;30000;49190;0;0;0;0;0;0;0;0;0;0;0.08;1;0;0;
4;96;TrafficPattern::Bitshuffle;0.001;7603 ns;760;5860 ns;586;16 us;1600;3;2;6;7680;7488;80;78;80;300 us;30000;59202;0;0;0;0;0;0;0;0;0;125;0.096;1;0.025;0.00872396;
4;112;TrafficPattern::Bitshuffle;0.001;8460 ns;846;6820 ns;682;16920 ns;1692;3;2;6;8960;8624;80;77;80;300 us;30000;68212;0;0;0;0;0;0;0;0;0;92;0.112;1;0.0375;0.0272321;
4;128;TrafficPattern::Bitshuffle;0.001;9601 ns;960;7780 ns;778;17920 ns;1792;3;2;6;10240;9600;80;75;80;300 us;30000;77364;0;0;0;0;0;0;0;0;0;383;0.128;1;0.0625;0.0250977;
4;144;TrafficPattern::Bitshuffle;0.001;10959 ns;1095;8740 ns;874;18920 ns;1892;4;2;6;11520;10656;80;74;80;300 us;30000;84957;0;0;0;0;0;0;0;0;0;765;0.144;1;0.075;0.00859375;
4;160;TrafficPattern::Bitshuffle;0.001;11919 ns;1191;9700 ns;970;19880 ns;1988;4;2;6;12800;11840;80;74;80;300 us;30000;92373;0;0;0;0;0;0;0;0;0;766;0.16;1;0.075;0.0151563;
4;176;TrafficPattern::Bitshuffle;0.001;12711 ns;1271;10660 ns;1066;20840 ns;2084;3;2;6;14080;12320;80;70;80;300 us;30000;96941;0;0;0;0;0;0;0;0;0;1373;0.176;1;0.125;0.0274858;
4;192;TrafficPattern::Bitshuffle;0.001;13686 ns;1368;11620 ns;1162;21800 ns;2180;3;2;6;15360;13440;80;70;80;300 us;30000;97901;0;0;0;0;0;0;0;0;0;1246;0.192;1;0.125;0.0438802;
4;208;TrafficPattern::Bitshuffle;0.001;14659 ns;1465;12580 ns;1258;22740 ns;2274;3;2;6;16640;14560;80;70;80;300 us;30000;98795;0;0;0;0;0;0;0;0;0;1113;0.208;1;0.125;0.058113;
4;224;TrafficPattern::Bitshuffle;0.001;15633 ns;1563;13540 ns;1354;23720 ns;2372;3;2;6;17920;15680;80;70;80;300 us;30000;99804;0;0;0;0;0;0;0;0;0;889;0.224;1;0.125;0.0753906;
4;240;TrafficPattern::Bitshuffle;0.001;16606 ns;1660;14500 ns;1450;24680 ns;2468;3;2;6;19200;16800;80;70;80;300 us;30000;99509;0;0;0;0;0;0;0;0;0;662;0.24;1;0.125;0.0905208;
4;256;TrafficPattern::Bitshuffle;0.001;22006 ns;2200;16660 ns;1666;29420 ns;2942;4;2;6;20480;17408;80;68;80;300 us;30000;98409;0;0;0;0;0;0;0;0;0;1681;0.256;1;0.15;0.0679199;
5;16;TrafficPattern::Bitshuffle;0.001;2994 ns;299;1060 ns;106;11220 ns;1122;4;2;6;1280;1280;80;80;80;300 us;30000;11651;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
5;20;TrafficPattern::Bitshuffle;0.001;3233 ns;323;1300 ns;130;11460 ns;1146;4;2;6;1600;1600;80;80;80;300 us;30000;13988;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;
5;24;TrafficPattern::Bitshuffle;0.001;3474 ns;347;1540 ns;154;11700 ns;1170;4;2;6;1920;1920;80;80;80;300 us;30000;16374;0;0;0;0;0;0;0;0;0;0;0.024;1;0;0;
5;28;TrafficPattern::Bitshuffle;0.001;3716 ns;371;1780 ns;178;11940 ns;1194;4;2;6;2240;2240;80;80;80;300 us;30000;18544;0;0;0;0;0;0;0;0;0;0;0.028;1;0;0;
